abort snåpreis
akebakke rennjarbakke
akebakker rennjarbakka
alikavel læll
alikavell læll
alikevell læll
alikevel læll
almanakk ælnakke
altetende ålett
alterring knefallj
andpusten annjblæst
ankel hukkuhul
ankelen hukkukuln
ankelkulen hukkukuln
annerledes annjsless
annerledes annsless
atferd åtfal
avholds godtæmplera
avholdsmann godtæmpler
avholdsmenn godtæmplera
bad laug
badet lauget
bakfram baklængs
bakfra attafrå
bakover attabakk
baksthyllj plate
bakende attenje
bake båkkå
barfot bærføtt
barfotet bærføtt
barn attpådaljt
barn onge
barnesjuk banklein
barnfakter banfale
barkongle barkjuk
bart bært
bartre tell
bartre tell
bartrærne tellan
beinkul håkkelkul
beinet beine
benk sængbænk
beskjeden åkkår
besvimte dån
binge gale
bløt blaut
bolt bålljt
bord slagbol
brennesle breinnjhuttu
brennevin karsk
brennmanet kåbbklys
brøddeig deigknå
brøddeigen deigknån
brødskive kakuskiv
brødskive kakskiv
brødskriver kakskiva
brødskriver kakskiva
brunost ganklæbb
brunstig øksen
bukse boks
bukse boks
bukser boksa
bunnfrosset båtnspækt
byrde bøl
bære bårrå
bæsj sjit
bæsjer sjit
bært bart
casanova fettjuv
dampen gåsse
datter døtter
deg dæ
den denj
denge dennj
dessertpudding kjelost
det d
diaré lausmaga
diare lausmaga
diebarn sugaronge
diskutere desputer
diskuterer desputere
diskuterte desputert
djevel gammelnassin
djevelen gammelnassin
dobbelhake onnjhukku
doning bil
doningan biler
dovne dåmmå
dovnet dåmmå
dra fer
dritt sjit
dro for
drømmer drømma
dryg dryge
dum hånstaur
dumming saupskolljt
dumming tolljtre
dugnad duna
dynnjblaut gjennomvåt
dætt ustø
dætten ustødig
dølp grop
døn besvimte
døtter datter
døkti flink
edru fastan
edderkopp kångro
egg triplommægg
egensindig rangsnuddj
ein en
ein en
eiterkveis sint
ekkel brækkækkel
ekkelt ofysele
ekkorn ekkånnj
elske æslk
elsker ælske
elsket æslska
en ein
en ein
epilepsi falljsykj
epileptisk nefalljssjuk
er e
eske dås
faljt fatle
faller dætt
falljas mislykkes
fale farlig
falmas miste
fare fårrå
farte laup
farskåt barnslig
farskonge barnslig
fengerbår fingerbøll
fengernæmm flink
fesk fisk
filete lørvåt
fingerbøll fengerbår
firafotåm krabbe
fisk fesk
fjære fjurru
fjert tørrsjit
fjurru fjære
flenk flink
flire ler
flire ler
floing kraftig
flokk hurv
flyfille spokn
flink døkti
flink fengernæmm
flink flenk
flink flink
forsterkning tåhætt
forgjeves fånøttes
fort furt
fortballlag rosenborg
fotball rosenborg
fota føtter
frammonnj fremmed
frier tausmåg
frosne fryse
frost næggelbit
frotse maul
frøs hannkatt
fråtse snavle
fråtser snavle
furu gadd
fyfille kurinj
fyllefest drekkarkul
føle vøl
føler føle
følj følge
følksamt folkesomt
førkjonge ungjente
førrå fare
fånøttes forgjeves
gadd tørrfuru
gadd furu
gadd furutre
gakkorikaill spøkefugl
gale binge
gammelnassin djevel
gammelnassin djevelen
gangsperr støl
gasse gåsse
gavmild gojærta
gele sjelle
gikk jekk
gjennomvåt dynnjblaut
gjøre fli
gjøre jårrå
gjøre yttermån
glasrut vindusrute
glennj åpning
gnalljhal veldig
god go
godteri snavvel
gojærta gavmild
golokt parfyme
gravde gravde
grave grev
graver grev
gravferd likfal
grautpinnje grødpinne
grev grave
grev graver
gromm snill
grop dølp
grugge kaffegrut
grødpinne grautpinnje
grøft veit
gå balljas
gåsunger kattlabba
gåsse dampen
gåsse gasse
gutt gutvarp
gutt gutvått
gølvlørv tue
hage håggå
hake hukku
hald hallj
halbale tung
hallj hald
hallj sting
hammer håmmår
han hanj
hanhund hannjhoonj
hanj han
hannjhoonj hanhund
hannkatt frøs
hare hårrå
har he
hatt hadd
hattkallj treging
hau hode
haupin hodepine
haukråk kollbøtte
hautolljen svimmel
hautullin svimmel
he har
heimbåkkåkak hjembakt
heimert hjemmebrent
heimlåggå hjemmelaget
heita het
heite heter
hell hellj
helt foilljgæli
herremann karmannj
hinne snærke
hissigpropp krut-tynnj
hissigpropp sotnæver
hjembakt heimbåkkåkak
hjemmelaget heimlåggå
hjemmebrent heimert
hjørnetann kjinnjtannj
hodepine haupin
hokatt kjøys
hollopadd padde
hommelpong skjellsord
honj hund
horn hånnj
hukkukuln ankelkuln
hukkuhul ankel
hukku hake
hukku ankel
hukukuln ankelkuln
hulter omm
hun hu
hund honj
hurv flokk
huske meskåmmåhau
hustre uhyggelig
huv lue
hva ka
hvem kem
hver kvær
hvilke kordan
hvilken kordan
hvite kvite
hvor korr
hvorfor koffor
hvorfor kåffår
hvordan koss
hvordan kålles
håggå hage
håkkelkul beinkul
håmmår hammer
hånnj horn
hånstaur dum
hæl orke
hølkfør isføre
idiot gauder
ikke itj
ikke itj
ikke itj
imens millerti
innhegning trø
innjponnj innunder
innjsjett klok
innpåsliten ampen
isted ista
istedet istan
isføre hølkfør
itj ikke
jabbkråk pratmaker
jakkel jeksel
jeg æ
jeksel jakkel
jente veitj
jente veitj
jernspiss pik
jillj stolt
jåltre jåle
jårrå gjøre
jælk vallak
jæl sette
ka hva
kaffegrut grugge
kak kake
kaka kaker
kake kak
kaker kaka
kakskiv brødskive
kakskiva brødskriver
kakuskiv brødskive
kar drængkaillj
karmannj herremann
karsk brennevin
karv skjære
kattlabba gåsunger
kavring kavring
kavring kavring
kem hvem
kile kjåttå
kile kjåttå
kilen kjåttau
kinn kjeik
kjæft kjeft
kjæftaus kjeftsmelle
kjæmm kjemme
kjæmpeflenk kjempeflink
kjærringæmn kjerringemne
kjåttå kile
kjåttau kilen
kjeik kinn
kjeivhennjt venstrehendt
kjeft kjæft
kjeftsmelle kjæftaus
kjelost dessertpudding
kjemme kjæmm
kjempeflink kjæmpeflenk
kjerringemne kjærringæmn
kjinnj kjerne
kjinnjtannj hjørnetann
kjinnjtask kusma
kjurru tjære
kjøys hokatt
